,date,year,quarter,month,month_name,month_abbreviation,year_month,day,day_of_week,day_name,day_abbreviation,week,is_weekend,fiscal_year,fiscal_quarter,fiscal_month,is_last_day_of_month,is_last_day_of_quarter,is_last_day_of_year
41,2021-02-11 00:00:00.0000000,2021,1,2,February,Feb,202102,11,5,Thursday,Thu,6,False,2021,1,2,False,False,False
42,2021-02-12 00:00:00.0000000,2021,1,2,February,Feb,202102,12,6,Friday,Fri,6,False,2021,1,2,False,False,False
43,2021-02-13 00:00:00.0000000,2021,1,2,February,Feb,202102,13,7,Saturday,Sat,6,True,2021,1,2,False,False,False
44,2021-02-14 00:00:00.0000000,2021,1,2,February,Feb,202102,14,8,Sunday,Sun,6,True,2021,1,2,False,False,False
45,2021-02-15 00:00:00.0000000,2021,1,2,February,Feb,202102,15,2,Monday,Mon,7,False,2021,1,2,False,False,False
46,2021-02-16 00:00:00.0000000,2021,1,2,February,Feb,202102,16,3,Tuesday,Tue,7,False,2021,1,2,False,False,False
47,2021-02-17 00:00:00.0000000,2021,1,2,February,Feb,202102,17,4,Wednesday,Wed,7,False,2021,1,2,False,False,False
48,2021-02-18 00:00:00.0000000,2021,1,2,February,Feb,202102,18,5,Thursday,Thu,7,False,2021,1,2,False,False,False
49,2021-02-19 00:00:00.0000000,2021,1,2,February,Feb,202102,19,6,Friday,Fri,7,False,2021,1,2,False,False,False
50,2021-02-20 00:00:00.0000000,2021,1,2,February,Feb,202102,20,7,Saturday,Sat,7,True,2021,1,2,False,False,False
51,2021-02-21 00:00:00.0000000,2021,1,2,February,Feb,202102,21,8,Sunday,Sun,7,True,2021,1,2,False,False,False
52,2021-02-22 00:00:00.0000000,2021,1,2,February,Feb,202102,22,2,Monday,Mon,8,False,2021,1,2,False,False,False
53,2021-02-23 00:00:00.0000000,2021,1,2,February,Feb,202102,23,3,Tuesday,Tue,8,False,2021,1,2,False,False,False
54,2021-02-24 00:00:00.0000000,2021,1,2,February,Feb,202102,24,4,Wednesday,Wed,8,False,2021,1,2,False,False,False
55,2021-02-25 00:00:00.0000000,2021,1,2,February,Feb,202102,25,5,Thursday,Thu,8,False,2021,1,2,False,False,False
56,2021-02-26 00:00:00.0000000,2021,1,2,February,Feb,202102,26,6,Friday,Fri,8,False,2021,1,2,False,False,False
57,2021-02-27 00:00:00.0000000,2021,1,2,February,Feb,202102,27,7,Saturday,Sat,8,True,2021,1,2,False,False,False
58,2021-02-28 00:00:00.0000000,2021,1,2,February,Feb,202102,28,8,Sunday,Sun,8,True,2021,1,2,True,False,False
59,2021-03-01 00:00:00.0000000,2021,1,3,March,Mar,202103,1,2,Monday,Mon,9,False,2021,1,3,False,False,False
60,2021-03-02 00:00:00.0000000,2021,1,3,March,Mar,202103,2,3,Tuesday,Tue,9,False,2021,1,3,False,False,False
61,2021-03-03 00:00:00.0000000,2021,1,3,March,Mar,202103,3,4,Wednesday,Wed,9,False,2021,1,3,False,False,False
62,2021-03-04 00:00:00.0000000,2021,1,3,March,Mar,202103,4,5,Thursday,Thu,9,False,2021,1,3,False,False,False
63,2021-03-05 00:00:00.0000000,2021,1,3,March,Mar,202103,5,6,Friday,Fri,9,False,2021,1,3,False,False,False
64,2021-03-06 00:00:00.0000000,2021,1,3,March,Mar,202103,6,7,Saturday,Sat,9,True,2021,1,3,False,False,False
65,2021-03-07 00:00:00.0000000,2021,1,3,March,Mar,202103,7,8,Sunday,Sun,9,True,2021,1,3,False,False,False
66,2021-03-08 00:00:00.0000000,2021,1,3,March,Mar,202103,8,2,Monday,Mon,10,False,2021,1,3,False,False,False
67,2021-03-09 00:00:00.0000000,2021,1,3,March,Mar,202103,9,3,Tuesday,Tue,10,False,2021,1,3,False,False,False
68,2021-03-10 00:00:00.0000000,2021,1,3,March,Mar,202103,10,4,Wednesday,Wed,10,False,2021,1,3,False,False,False
69,2021-03-11 00:00:00.0000000,2021,1,3,March,Mar,202103,11,5,Thursday,Thu,10,False,2021,1,3,False,False,False
70,2021-03-12 00:00:00.0000000,2021,1,3,March,Mar,202103,12,6,Friday,Fri,10,False,2021,1,3,False,False,False
71,2021-03-13 00:00:00.0000000,2021,1,3,March,Mar,202103,13,7,Saturday,Sat,10,True,2021,1,3,False,False,False
72,2021-03-14 00:00:00.0000000,2021,1,3,March,Mar,202103,14,8,Sunday,Sun,10,True,2021,1,3,False,False,False
73,2021-03-15 00:00:00.0000000,2021,1,3,March,Mar,202103,15,2,Monday,Mon,11,False,2021,1,3,False,False,False
74,2021-03-16 00:00:00.0000000,2021,1,3,March,Mar,202103,16,3,Tuesday,Tue,11,False,2021,1,3,False,False,False
75,2021-03-17 00:00:00.0000000,2021,1,3,March,Mar,202103,17,4,Wednesday,Wed,11,False,2021,1,3,False,False,False
76,2021-03-18 00:00:00.0000000,2021,1,3,March,Mar,202103,18,5,Thursday,Thu,11,False,2021,1,3,False,False,False
